EPOCH                          SW_VTH        ION_NP      DEL_TIME      VX_(GSM)      VY_(GSM)      VZ_(GSM)
                                                                         (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyyhh:mm:ss.ms            km/s          #/cc            ms          km/s          km/s          km/s
06-01-1997 00:00:05.343  -1.00000E+31  -1.00000E+31   9.99900E+06  -1.00000E+31  -1.00000E+31  -1.00000E+31
06-01-1997 00:02:04.180       21.3981       11.9697       8498.90      -343.426      -5.95090     0.0946560
06-01-1997 00:03:27.081       22.3898       11.5733       8498.90      -340.131      -8.00483      -3.23281
06-01-1997 00:04:46.913       20.5193       10.9290       8499.07      -341.086      -8.42008      -4.08187
06-01-1997 00:06:09.815       21.6290       12.2270       8499.07      -339.647      -11.3934     -0.620075
06-01-1997 00:07:32.716       20.5455       11.8456       8498.90      -340.310      -9.44884      0.163947
06-01-1997 00:08:55.618       21.1812       11.4570       8499.07      -340.153      -8.53162      -3.86320
06-01-1997 00:10:16.985       19.6757       11.6101       6963.83      -336.579      -10.8784      -1.91469
06-01-1997 00:11:39.887       19.5397       11.7633       6963.83      -336.255      -11.1856      -1.35957
06-01-1997 00:13:02.788       20.3949       11.4834       6963.83      -336.294      -11.1945      -1.03021
06-01-1997 00:14:25.689       20.0554       11.6758       6963.70      -337.196      -11.5358      0.181751
06-01-1997 00:15:45.520       20.1095       11.1145       6963.70      -337.563      -9.80584      -1.72916
06-01-1997 00:17:08.422       20.2352       11.6444       6963.70      -337.570      -11.1454     -0.331855
06-01-1997 00:18:31.323       21.7834       11.8237       6963.70      -337.771      -7.21564      -1.51912
06-01-1997 00:19:54.226       20.8672       12.0792       6963.83      -338.861      -6.29453      -2.16920
06-01-1997 00:21:18.662       22.6740       11.8371       8498.90      -339.450      -5.94290      -2.43994
06-01-1997 00:22:36.958       21.4083       11.6276       6963.70      -338.048      -5.87504      -3.98167
06-01-1997 00:23:59.860       21.4063       11.7166       6963.70      -337.694      -5.11563      -3.68618
06-01-1997 00:25:22.761       20.5450       11.1539       6963.70      -334.861      -6.76226      0.517015
06-01-1997 00:26:44.269       19.6703       11.1619       8358.57      -332.333      -6.43789      0.371156
06-01-1997 00:28:07.171       20.5077       11.3581       8358.57      -331.600       1.89372       1.38188
06-01-1997 00:29:27.002       21.1829       11.2790       8358.57      -329.186      -4.03561       3.28091
06-01-1997 00:30:49.902       21.1377       10.9472       8358.40      -328.929      -3.93684       1.59457
06-01-1997 00:32:12.804       20.8709       10.9913       8358.40      -328.521      -3.62466      -2.37601
06-01-1997 00:33:32.636       21.5135       11.3319       8358.57      -329.103      -5.04900      -1.97817
06-01-1997 00:34:55.538       20.9841       11.0071       8358.57      -328.391      -3.20850      -1.43765
06-01-1997 00:36:15.369       20.7656       10.8937       8358.57      -328.114      -2.14054      -2.03736
06-01-1997 00:37:38.271       20.5035       10.8726       8358.57      -328.483      -2.26749      -2.96038
06-01-1997 00:39:01.031       21.0332       11.1163       8498.90      -327.435      -1.64374      -1.31581
06-01-1997 00:40:24.073       21.1181       10.8512       8358.40      -327.943      -1.91749      -1.26178
06-01-1997 00:41:46.974       20.4668       10.5010       8358.40      -328.204      -1.90666      -4.29450
06-01-1997 00:43:06.807       20.7146       10.5235       8358.57      -327.292      -1.09345      -6.16064
06-01-1997 00:44:29.708       20.8431       10.8453       8358.57      -327.499      -1.30369      -5.04825
06-01-1997 00:45:52.609       21.7269       11.2714       8358.40      -328.634       2.05681      -5.85326
06-01-1997 00:47:15.512       22.8658       11.7727       8358.57      -327.051      -1.26360      -11.3368
06-01-1997 00:48:38.272       22.0352       10.9832       8499.07      -329.612      -3.32015      0.404560
06-01-1997 00:50:01.315       22.3607       11.5159       8358.57      -330.574       3.66386     -0.367913
06-01-1997 00:51:24.215       22.5691       11.4029       8358.40      -330.081       5.19049    -0.0937347
06-01-1997 00:52:47.118       22.1431       11.2977       8358.57      -330.741       4.04253      0.203605
06-01-1997 00:54:06.949       22.0019       11.1454       8358.57      -330.703       4.05011      0.307230
06-01-1997 00:55:31.246       23.3109       11.0915       6963.83      -334.182     -0.405082      -3.65208
06-01-1997 00:56:54.147       20.3964       10.0859       6963.83      -332.861      -1.23844      0.506402
06-01-1997 00:58:15.654       20.9836       10.1814       8358.57      -330.838      -1.43054      0.310131
06-01-1997 00:59:38.555       23.4015       10.9518       8358.40      -329.257     -0.680254      -1.20907
06-01-1997 01:00:58.387       22.4032       10.7767       8358.57      -330.812       3.54862     -0.575210
06-01-1997 01:02:21.147       22.0588       10.8486       8499.07      -328.297      -3.85550      -5.84439
06-01-1997 01:03:44.049       22.5967       10.9919       8499.07      -324.953       2.47935      0.947312
06-01-1997 01:05:03.880       21.5379       10.9391       8498.90      -328.008       2.41841      -3.68458
06-01-1997 01:06:26.782       21.0337       11.2809       8498.90      -323.935       1.60019       1.49095
06-01-1997 01:07:49.684       20.1545       10.5546       8499.07      -325.279       1.59116       2.41271
06-01-1997 01:09:12.585       20.1269       10.4291       8499.07      -325.245      0.973970       2.99429
06-01-1997 01:10:35.488       20.3116       10.7721       8499.07      -325.230      0.384541       2.99389
06-01-1997 01:11:55.318       20.4898       10.7760       8498.90      -325.247      0.423424       3.43211
06-01-1997 01:13:18.220       20.9574       10.6091       8498.90      -326.221      0.432271       2.95447
06-01-1997 01:14:38.052       21.3103       10.8934       8499.07      -326.663      -1.84891       2.69139
06-01-1997 01:16:00.953       21.7515       10.6907       8499.07      -328.301      -4.20107      -1.27480
06-01-1997 01:17:23.854       22.0512       10.8555       8498.90      -328.768      -2.78545     -0.669788
06-01-1997 01:18:43.685       21.3814       10.7793       8498.90      -329.164      -4.54299      -1.44190
06-01-1997 01:20:06.587       22.3769       11.4086       8498.90      -327.802      -5.08879      -1.45064
06-01-1997 01:21:26.418       21.1645       10.8660       8499.07      -327.077       2.05818       5.74793
06-01-1997 01:22:49.319       22.7462       11.1937       8499.07      -328.565      -3.46339     -0.493554
06-01-1997 01:24:12.221       23.3247       11.8115       8498.90      -326.725      -6.63325      -2.26548
06-01-1997 01:25:35.123       25.9240       12.2043       8498.90      -328.635      0.902850      -3.20822
06-01-1997 01:26:58.024       23.7443       11.7789       8498.90      -328.259      -5.45619      -1.59663
06-01-1997 01:28:17.855       23.1453       11.6934       8498.90      -328.996       7.62910      -3.85238
06-01-1997 01:29:42.292       21.9189       12.3125       6963.70      -334.606       8.67868       11.6308
06-01-1997 01:31:04.481       19.5047       10.9819       7816.67      -333.354       6.45474       9.01916
06-01-1997 01:32:27.383       20.1566       11.1739       7816.67      -331.855       4.62747       7.61820
06-01-1997 01:33:49.462       20.4274       11.4281       8499.07      -331.228      -3.83017       1.86658
06-01-1997 01:35:12.363       23.0520       12.0586       8498.90      -328.938      -6.48898      0.349078
06-01-1997 01:36:33.118       19.8634       15.2533       6140.80      -314.092       58.1720       21.6584
06-01-1997 01:38:01.237       22.9360       8.93031       8499.07      -340.444       3.75786       3.24682
06-01-1997 01:39:21.069       22.1972       9.29513       8499.07      -339.045       5.49747       3.62588
06-01-1997 01:40:42.434       20.8462       7.55065       6963.70      -337.753       9.90187      -2.68829
06-01-1997 01:42:05.336       22.9768       9.21604       6963.70      -337.647       4.36042       5.03128
06-01-1997 01:43:28.238       21.8960       8.07459       6963.83      -338.723       1.27979       6.01116
06-01-1997 01:44:51.140       23.3540       8.98761       6963.83      -334.284       1.24348       2.46719
06-01-1997 01:46:10.970       26.6838       11.2857       6963.70      -332.567       1.02831       2.08347
06-01-1997 01:47:33.872       24.2455       9.97379       6963.70      -330.881       3.02922     -0.325035
06-01-1997 01:48:55.238       24.3691       11.9258       8498.90      -327.112      -2.16428       1.16237
06-01-1997 01:50:18.281       26.1317       10.8620       8358.57      -329.667       1.53121      0.593621
06-01-1997 01:51:44.112       20.7111       11.6391       8499.07      -338.704       8.25219       6.37461
06-01-1997 01:53:03.978       22.0931       11.3223       8534.00      -341.277       7.50874       6.92474
